variable,value,raw_n,raw_pct
DevType,Cloud infrastructure engineer,441,0.008965054583155455
DevType,"Founder, technology or otherwise",431,0.00876176536358277
DevType,Cybersecurity or InfoSec professional,370,0.007521701124189384
DevType,Data or business analyst,351,0.007135451607001281
DevType,"Developer, QA or test",343,0.0069728202313431315
DevType,Project manager,302,0.0061393344310951194
DevType,Applied scientist,297,0.006037689821308776
DevType,Support engineer or analyst,251,0.00510255941127442
DevType,"Developer, AI apps or physical AI",236,0.004797625581915391
DevType,Product manager,205,0.004167429001240064
RemoteWork,,15411,0.3132890162834665
RemoteWork,Remote,10931,0.22221544591490314
RemoteWork,"Hybrid (some remote, leans heavy to in-person)",6732,0.13685430261633225
RemoteWork,In-person,6042,0.12282734646581692
RemoteWork,"Hybrid (some in-person, leans heavy to flexibility)",5831,0.11853794393283325
RemoteWork,"Your choice (very flexible, you can come in when you want or just as needed)",4244,0.08627594478664796
Country,,13754,0.2796039926002724
Country,United States of America,7233,0.14703909251692382
Country,Germany,3025,0.061494988920737535
Country,India,2547,0.05177776422516314
Country,United Kingdom of Great Britain and Northern Ireland,2042,0.04151165863674249
Country,France,1409,0.028643451037791465
Country,Canada,1305,0.02652924315423553
Country,Ukraine,964,0.019597080766806937
Country,Poland,888,0.01805208269805452
Country,Netherlands,867,0.017625175336951883
Country,Italy,835,0.016974649834319285
Country,Brazil,825,0.0167713606147466
Country,Australia,804,0.01634445325364396
Country,Spain,717,0.01457583704336159
Country,Sweden,616,0.01252261592567746
Country,Switzerland,546,0.011099591388668659
Country,Czech Republic,520,0.010571039417779675
Country,Austria,410,0.008334858002480128
Country,Romania,323,0.00656624179219776
Country,Belgium,321,0.0065255839482832225
Country,Denmark,316,0.00642393933849688
Country,Israel,297,0.006037689821308776
Country,Turkey,295,0.005997031977394238
Country,Mexico,286,0.005814071679778821
Country,Portugal,280,0.0056920981480352096
Country,China,255,0.005183875099103495
Country,New Zealand,255,0.005183875099103495
Country,Finland,254,0.005163546177146226
Country,South Africa,253,0.005143217255188957
Country,Greece,252,0.005122888333231689
LearnCodeAI,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",16403,0.33345530686507696
LearnCodeAI,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",14027,0.28515378829460675
LearnCodeAI,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5282,0.10737736577829278
LearnCodeAI,"No, I didn't spend time learning in the past year",4864,0.0988798764001545
LearnCodeAI,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",4625,0.0940212640523673
LearnCodeAI,,3990,0.08111239860950174
AILearnHow,,20934,0.425565652253461
AILearnHow,AI CodeGen tools or AI-enabled apps,2555,0.05194039560082129
AILearnHow,"Other online resources (e.g. standard search, forum, online community)",991,0.02014596165965319
AILearnHow,Colleague or on-the-job training,777,0.01579557236079771
AILearnHow,Videos (not associated with specific online course or certification),687,0.013965969384643532
AILearnHow,Technical documentation (is generated for/by the tool or system),644,0.013091825740480982
AILearnHow,"AI CodeGen tools or AI-enabled apps;Other online resources (e.g. standard search, forum, online community)",585,0.011892419345002134
AILearnHow,AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system),578,0.011750116891301255
AILearnHow,AI CodeGen tools or AI-enabled apps;Videos (not associated with specific online course or certification),576,0.011709459047386716
AILearnHow,"Technical documentation (is generated for/by the tool or system);Other online resources (e.g. standard search, forum, online community)",573,0.011648472281514912
AILearnHow,Other (please specify):,539,0.01095728893496778
AILearnHow,"AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system);Other online resources (e.g. standard search, forum, online community)",479,0.009737553617531662
AILearnHow,AI CodeGen tools or AI-enabled apps;Colleague or on-the-job training,453,0.009209001646642678
AILearnHow,Online Courses or Certification (includes all media types),380,0.00772499034376207
AILearnHow,"Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community)",368,0.007481043280274847
AILearnHow,"AI CodeGen tools or AI-enabled apps;Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community)",341,0.006932162387428595
AILearnHow,"AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system);Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community);Blogs or podcasts",324,0.0065865707141550284
AILearnHow,"AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system);Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community)",295,0.005997031977394238
AILearnHow,AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system);Videos (not associated with specific online course or certification),277,0.005631111382163404
AILearnHow,Blogs or podcasts,271,0.005509137850419793
AILearnHow,"Technical documentation (is generated for/by the tool or system);Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community)",270,0.005488808928462523
AILearnHow,Technical documentation (is generated for/by the tool or system);Videos (not associated with specific online course or certification),258,0.0052448618649753006
AILearnHow,Videos (not associated with specific online course or certification);Blogs or podcasts,247,0.005021243723445346
AILearnHow,"AI CodeGen tools or AI-enabled apps;Technical documentation (is generated for/by the tool or system);Other online resources (e.g. standard search, forum, online community);Blogs or podcasts",241,0.004899270191701734
AILearnHow,"Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community);Blogs or podcasts",240,0.004878941269744466
AILearnHow,AI CodeGen tools or AI-enabled apps;Blogs or podcasts,228,0.004634994206257242
AILearnHow,AI CodeGen tools or AI-enabled apps;Videos (not associated with specific online course or certification);Blogs or podcasts,215,0.00437071822081275
AILearnHow,"AI CodeGen tools or AI-enabled apps;Videos (not associated with specific online course or certification);Other online resources (e.g. standard search, forum, online community);Blogs or podcasts",206,0.004187757923197333
AILearnHow,"Other online resources (e.g. standard search, forum, online community);Colleague or on-the-job training",202,0.004106442235368259
AILearnHow,"Technical documentation (is generated for/by the tool or system);Other online resources (e.g. standard search, forum, online community);Blogs or podcasts",200,0.004065784391453721
AIThreat,No,22958,0.46671139029497266
AIThreat,,13113,0.26657315362566325
AIThreat,I'm not sure,7700,0.15653269907096826
AIThreat,Yes,5420,0.11018275700839585
AIModelsChoice,,18952,0.3852737289341546
AIModelsChoice,Yes,16916,0.3438840438291557
AIModelsChoice,No,13323,0.27084222723668966
AIModelsHaveWorkedWith,,32910,0.6690248216137098
AIModelsHaveWorkedWith,openAI GPT (chatbot models),2379,0.04836250533634202
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models),934,0.018987213108088877
AIModelsHaveWorkedWith,openAI GPT (chatbot models);openAI Reasoning models,460,0.00935130410034356
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet,440,0.008944725661198187
AIModelsHaveWorkedWith,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,389,0.007907950641377488
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);openAI GPT (chatbot models),379,0.007704661421804802
AIModelsHaveWorkedWith,openAI GPT (chatbot models);openAI Image generating models,326,0.006627228558069565
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,297,0.006037689821308776
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),203,0.004126771157325527
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,199,0.004045455469496453
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),175,0.003557561342522006
AIModelsHaveWorkedWith,Gemini (Flash general purpose models),173,0.0035169034986074687
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models),145,0.002947693683803948
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),141,0.0028663779959748736
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models,137,0.002785062308145799
AIModelsHaveWorkedWith,Meta Llama (all models);openAI GPT (chatbot models),137,0.002785062308145799
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,133,0.0027037466203167246
AIModelsHaveWorkedWith,DeepSeek (R- Reasoning models);openAI GPT (chatbot models),120,0.002439470634872233
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,117,0.002378483869000427
AIModelsHaveWorkedWith,Meta Llama (all models),116,0.002358154947043158
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models,98,0.0019922343518123235
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models),95,0.0019312475859405175
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,93,0.0018905897420259804
AIModelsHaveWorkedWith,Gemini (Pro Reasoning models);openAI GPT (chatbot models),93,0.0018905897420259804
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,84,0.0017076294444105628
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,76,0.001544998068752414
AIModelsHaveWorkedWith,openAI GPT (chatbot models);X Grok models,74,0.001504340224837877
AIModelsHaveWorkedWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models),72,0.0014636823809233395
AIModelsHaveWorkedWith,Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,72,0.0014636823809233395
AIModelsWantToWorkWith,,37346,0.7592039194161534
AIModelsWantToWorkWith,openAI GPT (chatbot models),1368,0.027809965237543453
AIModelsWantToWorkWith,Anthropic: Claude Sonnet,600,0.012197353174361164
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models),530,0.010774328637352362
AIModelsWantToWorkWith,openAI GPT (chatbot models);openAI Reasoning models,302,0.0061393344310951194
AIModelsWantToWorkWith,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,271,0.005509137850419793
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,224,0.004553678518428168
AIModelsWantToWorkWith,openAI GPT (chatbot models);openAI Image generating models,210,0.004269073611026407
AIModelsWantToWorkWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models),178,0.003618548108393812
AIModelsWantToWorkWith,Gemini (Flash general purpose models);openAI GPT (chatbot models),169,0.0034355878107783944
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,139,0.0028257201520603364
AIModelsWantToWorkWith,Gemini (Flash general purpose models),120,0.002439470634872233
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,117,0.002378483869000427
AIModelsWantToWorkWith,Meta Llama (all models),111,0.002256510337256815
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models),110,0.0022361814152995468
AIModelsWantToWorkWith,Gemini (Pro Reasoning models),110,0.0022361814152995468
AIModelsWantToWorkWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),105,0.0021345368055132037
AIModelsWantToWorkWith,Mistral AI models,96,0.0019515765078977861
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,95,0.0019312475859405175
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),95,0.0019312475859405175
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),85,0.0017279583663678316
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models,84,0.0017076294444105628
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models),83,0.0016873005224532943
AIModelsWantToWorkWith,DeepSeek (R- Reasoning models),78,0.0015856559126669512
AIModelsWantToWorkWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,76,0.001544998068752414
AIModelsWantToWorkWith,DeepSeek (R- Reasoning models);openAI GPT (chatbot models),74,0.001504340224837877
AIModelsWantToWorkWith,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,74,0.001504340224837877
AIModelsWantToWorkWith,X Grok models,73,0.0014840113028806083
AIModelsWantToWorkWith,Gemini (Pro Reasoning models);openAI GPT (chatbot models),72,0.0014636823809233395
AIModelsWantToWorkWith,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,70,0.0014230245370088024
AIModelsAdmired,,37907,0.7706084446341811
AIModelsAdmired,openAI GPT (chatbot models),1719,0.03494541684454473
AIModelsAdmired,Anthropic: Claude Sonnet,658,0.013376430647882742
AIModelsAdmired,Anthropic: Claude Sonnet;openAI GPT (chatbot models),605,0.012298997784147506
AIModelsAdmired,openAI GPT (chatbot models);openAI Reasoning models,371,0.007542030046146653
AIModelsAdmired,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,331,0.006728873167855909
AIModelsAdmired,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,246,0.005000914801488077
AIModelsAdmired,openAI GPT (chatbot models);openAI Image generating models,243,0.004939928035616271
AIModelsAdmired,Gemini (Flash general purpose models);openAI GPT (chatbot models),228,0.004634994206257242
AIModelsAdmired,Gemini (Flash general purpose models);Gemini (Pro Reasoning models),184,0.0037405216401374237
AIModelsAdmired,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,175,0.003557561342522006
AIModelsAdmired,Gemini (Flash general purpose models),152,0.003089996137504828
AIModelsAdmired,Meta Llama (all models),112,0.002276839259214084
AIModelsAdmired,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),111,0.002256510337256815
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),109,0.002215852493342278
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models),104,0.002114207883555935
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,104,0.002114207883555935
AIModelsAdmired,Gemini (Pro Reasoning models),95,0.0019312475859405175
AIModelsAdmired,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models,95,0.0019312475859405175
AIModelsAdmired,Mistral AI models,92,0.0018702608200687118
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,81,0.0016466426785387571
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models),77,0.0015653269907096826
AIModelsAdmired,Meta Llama (all models);openAI GPT (chatbot models),76,0.001544998068752414
AIModelsAdmired,Gemini (Pro Reasoning models);openAI GPT (chatbot models),76,0.001544998068752414
AIModelsAdmired,openAI Reasoning models,75,0.0015246691467951455
AIModelsAdmired,DeepSeek (R- Reasoning models);openAI GPT (chatbot models),73,0.0014840113028806083
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),73,0.0014840113028806083
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models),69,0.0014026956150515338
AIModelsAdmired,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,67,0.0013620377711369967
AIModelsAdmired,DeepSeek (R- Reasoning models),63,0.0012807220833079222
AIModelsHaveEntry,,48415,0.9842247565611596
AIModelsHaveEntry,Copilot,42,0.0008538147222052814
AIModelsHaveEntry,copilot,27,0.0005488808928462524
AIModelsHaveEntry,Gemma,22,0.00044723628305990933
AIModelsHaveEntry,GitHub Copilot,21,0.0004269073611026407
AIModelsHaveEntry,Microsoft Copilot,19,0.0003862495171881035
AIModelsHaveEntry,Qwen,19,0.0003862495171881035
AIModelsHaveEntry,Github Copilot,18,0.0003659205952308349
AIModelsHaveEntry,Claude,14,0.0002846049074017605
AIModelsHaveEntry,Claude Opus,9,0.00018296029761541744
AIModelsHaveEntry,github copilot,8,0.00016263137565814884
AIModelsHaveEntry,Amazon Q,8,0.00016263137565814884
AIModelsHaveEntry,IBM Granite,7,0.00014230245370088024
AIModelsHaveEntry,Ollama,6,0.00012197353174361163
AIModelsHaveEntry,Codeium,6,0.00012197353174361163
AIModelsHaveEntry,claude,6,0.00012197353174361163
AIModelsHaveEntry,CoPilot,5,0.00010164460978634303
AIModelsHaveEntry,GitHub CoPilot,5,0.00010164460978634303
AIModelsHaveEntry,Github copilot,5,0.00010164460978634303
AIModelsHaveEntry,No,5,0.00010164460978634303
AIModelsHaveEntry,phind,4,8.131568782907442e-05
AIModelsHaveEntry,Granite,4,8.131568782907442e-05
AIModelsHaveEntry,qwen,4,8.131568782907442e-05
AIModelsHaveEntry,Junie,4,8.131568782907442e-05
AIModelsHaveEntry,no,4,8.131568782907442e-05
AIModelsHaveEntry,Augment,3,6.0986765871805816e-05
AIModelsHaveEntry,ollama,3,6.0986765871805816e-05
AIModelsHaveEntry,supermaven,3,6.0986765871805816e-05
AIModelsHaveEntry,GitHub copilot,3,6.0986765871805816e-05
AIModelsHaveEntry,Claude Sonnet,3,6.0986765871805816e-05
AIModelsWantEntry,,48716,0.9903437620702974
AIModelsWantEntry,Copilot,18,0.0003659205952308349
AIModelsWantEntry,Gemma,18,0.0003659205952308349
AIModelsWantEntry,copilot,16,0.0003252627513162977
AIModelsWantEntry,GitHub Copilot,16,0.0003252627513162977
AIModelsWantEntry,Qwen,14,0.0002846049074017605
AIModelsWantEntry,Microsoft Copilot,9,0.00018296029761541744
AIModelsWantEntry,Claude Opus,8,0.00016263137565814884
AIModelsWantEntry,Claude,7,0.00014230245370088024
AIModelsWantEntry,Github Copilot,6,0.00012197353174361163
AIModelsWantEntry,github copilot,6,0.00012197353174361163
AIModelsWantEntry,No,5,0.00010164460978634303
AIModelsWantEntry,Junie,5,0.00010164460978634303
AIModelsWantEntry,Amazon Q,5,0.00010164460978634303
AIModelsWantEntry,Ollama,4,8.131568782907442e-05
AIModelsWantEntry,GitHub CoPilot,4,8.131568782907442e-05
AIModelsWantEntry,no,4,8.131568782907442e-05
AIModelsWantEntry,Yes,4,8.131568782907442e-05
AIModelsWantEntry,1,4,8.131568782907442e-05
AIModelsWantEntry,ollama,3,6.0986765871805816e-05
AIModelsWantEntry,gemma,3,6.0986765871805816e-05
AIModelsWantEntry,phind,3,6.0986765871805816e-05
AIModelsWantEntry,qwen,3,6.0986765871805816e-05
AIModelsWantEntry,Windsurf,3,6.0986765871805816e-05
AIModelsWantEntry,2,3,6.0986765871805816e-05
AIModelsWantEntry,claude,3,6.0986765871805816e-05
AIModelsWantEntry,IBM Granite,3,6.0986765871805816e-05
AIModelsWantEntry,Anthropic: Claude Opus,3,6.0986765871805816e-05
AIModelsWantEntry,Mellum,2,4.065784391453721e-05
AIModelsWantEntry,Cursor,2,4.065784391453721e-05
AISelect,"Yes, I use AI tools daily",15883,0.32288426744729726
AISelect,,15471,0.3145087516009026
AISelect,"Yes, I use AI tools weekly",5958,0.12111971702140635
AISelect,"No, and I don't plan to",5454,0.11087394035494298
AISelect,"Yes, I use AI tools monthly or infrequently",4628,0.09408225081823911
AISelect,"No, but I plan to soon",1797,0.03653107275721169
AISent,,15724,0.31965196885609154
AISent,Favorable,12311,0.2502693582159338
AISent,Very favorable,7677,0.15606513386595108
AISent,Indifferent,5880,0.1195340611087394
AISent,Unfavorable,3621,0.07361102640726962
AISent,Very unfavorable,3219,0.06543879978044764
AISent,Unsure,759,0.015429651765566871
AIAcc,,15894,0.32310788558882725
AIAcc,Somewhat trust,9869,0.20062613079628389
AIAcc,Somewhat distrust,8685,0.17655668719887785
AIAcc,Neither trust nor distrust,7162,0.14559573905795775
AIAcc,Highly distrust,6533,0.1328088471468358
AIAcc,Highly trust,1048,0.0213047102112175
AIComplex,,15908,0.323392490496229
AIComplex,"Good, but not great at handling complex tasks",8384,0.17043768168974
AIComplex,Bad at handling complex tasks,7328,0.14897034010286433
AIComplex,Very poor at handling complex tasks,5844,0.11880221991827773
AIComplex,I don't use AI tools for complex tasks / I don't know,5582,0.11347604236547336
AIComplex,Neither good or bad at handling complex tasks,4688,0.09530198613567523
AIComplex,Very well at handling complex tasks,1457,0.02961923929174036
AIToolCurrently partially AI,,28163,0.5725234290825557
AIToolCurrently partially AI,Search for answers,904,0.01837734544937082
AIToolCurrently partially AI,Search for answers;Learning new concepts or technologies,509,0.01034742127624972
AIToolCurrently partially AI,Writing code,472,0.009595251163830781
AIToolCurrently partially AI,Learning new concepts or technologies,336,0.006830517777642251
AIToolCurrently partially AI,Writing code;Search for answers,301,0.00611900550913785
AIToolCurrently partially AI,Writing code;Debugging or fixing code;Search for answers;Learning new concepts or technologies,299,0.0060783476652233135
AIToolCurrently partially AI,Writing code;Search for answers;Learning new concepts or technologies,275,0.005590453538248867
AIToolCurrently partially AI,Writing code;Debugging or fixing code;Search for answers,260,0.005285519708889837
AIToolCurrently partially AI,Generating content or synthetic data,228,0.004634994206257242
AIToolCurrently partially AI,Writing code;Debugging or fixing code,227,0.004614665284299974
AIToolCurrently partially AI,Debugging or fixing code,187,0.003801508406009229
AIToolCurrently partially AI,Debugging or fixing code;Search for answers,180,0.003659205952308349
AIToolCurrently partially AI,Debugging or fixing code;Search for answers;Learning new concepts or technologies,168,0.0034152588888211256
AIToolCurrently partially AI,Learning about a codebase;Writing code;Debugging or fixing code;Search for answers;Learning new concepts or technologies,157,0.003191640747291171
AIToolCurrently partially AI,Writing code;Learning new concepts or technologies,152,0.003089996137504828
AIToolCurrently partially AI,Learning about a codebase,126,0.0025614441666158443
AIToolCurrently partially AI,Writing code;Debugging or fixing code;Learning new concepts or technologies,123,0.0025004574007440384
AIToolCurrently partially AI,Testing code,123,0.0025004574007440384
AIToolCurrently partially AI,Search for answers;Generating content or synthetic data,118,0.0023988127909576953
AIToolCurrently partially AI,Documenting code,112,0.002276839259214084
AIToolCurrently partially AI,Learning about a codebase;Search for answers;Learning new concepts or technologies,110,0.0022361814152995468
AIToolCurrently partially AI,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,102,0.0020735500396413978
AIToolCurrently partially AI,Learning about a codebase;Writing code;Search for answers;Learning new concepts or technologies,102,0.0020735500396413978
AIToolCurrently partially AI,Committing and reviewing code,97,0.0019719054298550547
AIToolCurrently partially AI,Search for answers;Generating content or synthetic data;Learning new concepts or technologies,95,0.0019312475859405175
AIToolCurrently partially AI,Writing code;Generating content or synthetic data,88,0.0017889451322396373
AIToolCurrently partially AI,Debugging or fixing code;Learning new concepts or technologies,87,0.0017686162102823688
AIToolCurrently partially AI,Creating or maintaining documentation,86,0.0017482872883251002
AIToolCurrently partially AI,Project planning,86,0.0017482872883251002
AIToolDon't plan to use AI for this task,,23810,0.48403163180256553
